question,answer
lol,Wkwk|Aku juga bingung
capek banget,Kayaknya kamu perlu rehat|Jangan dipaksain
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek mental,Capek itu wajar|Tarik napas dulu
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Kayaknya kamu perlu rehat|Jangan dipaksain
hati berat,Kedengerannya berat|Aku temenin
hati berat,Kedengerannya berat|Aku temenin
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Capek itu wajar|Tarik napas dulu
wkwk,Wkwk|Aku juga bingung
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
lol,Lah iya|Aneh tapi yaudah
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Aku dengerin kamu|Nggak apa-apa ngerasa gini
random anjir,Lah iya|Aneh tapi yaudah
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
kepala berat,Capek itu wajar|Tarik napas dulu
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
aku sedih,Kedengerannya berat|Aku temenin
haha,Lah iya|Aneh tapi yaudah
wkwk,Wkwk|Aku juga bingung
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
hati berat,Kedengerannya berat|Aku temenin
ga jelas,Lah iya|Aneh tapi yaudah
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
ngerasa gagal,Kedengerannya berat|Aku temenin
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
cape seharian,Capek itu wajar|Tarik napas dulu
ga jelas,Lah iya|Aneh tapi yaudah
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
receh banget,Lah iya|Aneh tapi yaudah
receh banget,Lah iya|Aneh tapi yaudah
kosong banget,Kedengerannya berat|Aku temenin
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
capek banget,Capek itu wajar|Tarik napas dulu
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
ga jelas,Lah iya|Aneh tapi yaudah
receh banget,Lah iya|Aneh tapi yaudah
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
ga jelas,Wkwk|Aku juga bingung
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
aku kecewa,Kedengerannya berat|Aku temenin
energi habis,Capek itu wajar|Tarik napas dulu
lol,Wkwk|Aku juga bingung
ga jelas,Haha|Nggak ngerti tapi lucu
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
ngerasa gagal,Kedengerannya berat|Aku temenin
aku down,Kedengerannya berat|Aku temenin
aku kecewa,Kedengerannya berat|Aku temenin
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
aku kecewa,Kedengerannya berat|Aku temenin
energi habis,Capek itu wajar|Tarik napas dulu
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
lol,Wkwk|Aku juga bingung
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
apa itu fotosintesis,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
kosong banget,Kedengerannya berat|Aku temenin
receh banget,Lah iya|Aneh tapi yaudah
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ngakak,Wkwk|Aku juga bingung
ngakak,Lah iya|Aneh tapi yaudah
lol,Haha|Nggak ngerti tapi lucu
capek banget,Capek itu wajar|Tarik napas dulu
capek mental,Kayaknya kamu perlu rehat|Jangan dipaksain
aku capek,Capek itu wajar|Tarik napas dulu
kosong banget,Aku dengerin kamu|Nggak apa-apa ngerasa gini
receh banget,Wkwk|Aku juga bingung
random anjir,Haha|Nggak ngerti tapi lucu
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
lol,Lah iya|Aneh tapi yaudah
aku capek,Capek itu wajar|Tarik napas dulu
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
ga jelas,Lah iya|Aneh tapi yaudah
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku kecewa,Kedengerannya berat|Aku temenin
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
capek banget,Capek itu wajar|Tarik napas dulu
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Capek itu wajar|Tarik napas dulu
aku capek,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Ini topik menarik|Aku coba jelasin pelan
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
ngakak,Lah iya|Aneh tapi yaudah
capek mental,Capek itu wajar|Tarik napas dulu
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Perasaan kamu valid|Pelan-pelan ya
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
badan pegel,Capek itu wajar|Tarik napas dulu
energi habis,Kayaknya kamu perlu rehat|Jangan dipaksain
aku kecapekan,Capek itu wajar|Tarik napas dulu
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
kosong banget,Kedengerannya berat|Aku temenin
hati berat,Perasaan kamu valid|Pelan-pelan ya
cape seharian,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
aku kecapekan,Capek itu wajar|Tarik napas dulu
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
energi habis,Kayaknya kamu perlu rehat|Jangan dipaksain
pengen nangis,Kedengerannya berat|Aku temenin
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku sedih,Aku dengerin kamu|Nggak apa-apa ngerasa gini
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecapekan,Capek itu wajar|Tarik napas dulu
receh banget,Lah iya|Aneh tapi yaudah
apa itu fotosintesis,Itu proses ilmiah|Aku jelasin singkat ya
kenapa manusia butuh tidur,Ada penjelasan sainsnya|Mau versi gampang atau detail
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku kecewa,Kedengerannya berat|Aku temenin
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
lol,Haha|Nggak ngerti tapi lucu
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
pengen nangis,Kedengerannya berat|Aku temenin
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
ngakak,Lah iya|Aneh tapi yaudah
kosong banget,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku sedih,Perasaan kamu valid|Pelan-pelan ya
hati berat,Kedengerannya berat|Aku temenin
kosong banget,Perasaan kamu valid|Pelan-pelan ya
apa itu fotosintesis,Ini topik menarik|Aku coba jelasin pelan
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
receh banget,Haha|Nggak ngerti tapi lucu
capek mental,Kayaknya kamu perlu rehat|Jangan dipaksain
kenapa manusia butuh tidur,Itu proses ilmiah|Aku jelasin singkat ya
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
apa itu ai,Ini topik menarik|Aku coba jelasin pelan
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
receh banget,Wkwk|Aku juga bingung
capek mental,Capek itu wajar|Tarik napas dulu
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
random anjir,Lah iya|Aneh tapi yaudah
hati berat,Kedengerannya berat|Aku temenin
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku sedih,Perasaan kamu valid|Pelan-pelan ya
apa itu ai,Ini topik menarik|Aku coba jelasin pelan
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
aku down,Perasaan kamu valid|Pelan-pelan ya
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
receh banget,Wkwk|Aku juga bingung
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
aku capek,Istirahat dulu ya|Tubuh kamu butuh jeda
ngerasa gagal,Aku dengerin kamu|Nggak apa-apa ngerasa gini
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ngakak,Haha|Nggak ngerti tapi lucu
aku sedih,Kedengerannya berat|Aku temenin
aku capek,Capek itu wajar|Tarik napas dulu
wkwk,Wkwk|Aku juga bingung
receh banget,Wkwk|Aku juga bingung
aku sedih,Perasaan kamu valid|Pelan-pelan ya
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
capek banget,Kayaknya kamu perlu rehat|Jangan dipaksain
haha,Haha|Nggak ngerti tapi lucu
aku capek,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
capek mental,Istirahat dulu ya|Tubuh kamu butuh jeda
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
kepala berat,Istirahat dulu ya|Tubuh kamu butuh jeda
random anjir,Lah iya|Aneh tapi yaudah
pengen nangis,Kedengerannya berat|Aku temenin
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
ngakak,Haha|Nggak ngerti tapi lucu
ngerasa gagal,Kedengerannya berat|Aku temenin
capek mental,Kayaknya kamu perlu rehat|Jangan dipaksain
apa itu fotosintesis,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Itu proses ilmiah|Aku jelasin singkat ya
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
apa itu internet,Ada penjelasan sainsnya|Mau versi gampang atau detail
lol,Haha|Nggak ngerti tapi lucu
receh banget,Wkwk|Aku juga bingung
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
wkwk,Haha|Nggak ngerti tapi lucu
pengen nangis,Kedengerannya berat|Aku temenin
aku down,Aku dengerin kamu|Nggak apa-apa ngerasa gini
aku down,Perasaan kamu valid|Pelan-pelan ya
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
apa itu ai,Ini topik menarik|Aku coba jelasin pelan
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
kosong banget,Aku dengerin kamu|Nggak apa-apa ngerasa gini
pengen nangis,Kedengerannya berat|Aku temenin
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
aku sedih,Perasaan kamu valid|Pelan-pelan ya
energi habis,Capek itu wajar|Tarik napas dulu
aku kecewa,Perasaan kamu valid|Pelan-pelan ya
apa itu ai,Ini topik menarik|Aku coba jelasin pelan
ngakak,Wkwk|Aku juga bingung
kosong banget,Perasaan kamu valid|Pelan-pelan ya
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
ga jelas,Lah iya|Aneh tapi yaudah
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ga jelas,Haha|Nggak ngerti tapi lucu
lol,Haha|Nggak ngerti tapi lucu
capek banget,Istirahat dulu ya|Tubuh kamu butuh jeda
lol,Wkwk|Aku juga bingung
apa itu internet,Itu proses ilmiah|Aku jelasin singkat ya
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Capek itu wajar|Tarik napas dulu
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
kepala berat,Kayaknya kamu perlu rehat|Jangan dipaksain
receh banget,Lah iya|Aneh tapi yaudah
wkwk,Haha|Nggak ngerti tapi lucu
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
siapa einstein,Ini topik menarik|Aku coba jelasin pelan
haha,Wkwk|Aku juga bingung
receh banget,Lah iya|Aneh tapi yaudah
apa itu ai,Ada penjelasan sainsnya|Mau versi gampang atau detail
badan pegel,Capek itu wajar|Tarik napas dulu
cape seharian,Capek itu wajar|Tarik napas dulu
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
energi habis,Capek itu wajar|Tarik napas dulu
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
apa itu internet,Ini topik menarik|Aku coba jelasin pelan
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
pengen nangis,Perasaan kamu valid|Pelan-pelan ya
capek mental,Capek itu wajar|Tarik napas dulu
aku sedih,Perasaan kamu valid|Pelan-pelan ya
capek banget,Kayaknya kamu perlu rehat|Jangan dipaksain
receh banget,Haha|Nggak ngerti tapi lucu
kenapa manusia butuh tidur,Ini topik menarik|Aku coba jelasin pelan
ngakak,Lah iya|Aneh tapi yaudah
aku down,Perasaan kamu valid|Pelan-pelan ya
kenapa langit biru,Itu proses ilmiah|Aku jelasin singkat ya
aku kecewa,Aku dengerin kamu|Nggak apa-apa ngerasa gini
ngakak,Haha|Nggak ngerti tapi lucu
siapa einstein,Ada penjelasan sainsnya|Mau versi gampang atau detail
aku down,Perasaan kamu valid|Pelan-pelan ya
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
kenapa langit biru,Ini topik menarik|Aku coba jelasin pelan
badan pegel,Kayaknya kamu perlu rehat|Jangan dipaksain
aku down,Perasaan kamu valid|Pelan-pelan ya
cape seharian,Kayaknya kamu perlu rehat|Jangan dipaksain
receh banget,Haha|Nggak ngerti tapi lucu
lol,Wkwk|Aku juga bingung
random anjir,Lah iya|Aneh tapi yaudah
aku kecapekan,Istirahat dulu ya|Tubuh kamu butuh jeda
pengen nangis,Kedengerannya berat|Aku temenin
badan pegel,Istirahat dulu ya|Tubuh kamu butuh jeda
capek mental,Istirahat dulu ya|Tubuh kamu butuh jeda
receh banget,Lah iya|Aneh tapi yaudah
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
capek mental,Istirahat dulu ya|Tubuh kamu butuh jeda
kenapa langit biru,Ada penjelasan sainsnya|Mau versi gampang atau detail
hati berat,Perasaan kamu valid|Pelan-pelan ya
cape seharian,Capek itu wajar|Tarik napas dulu
receh banget,Haha|Nggak ngerti tapi lucu
ngakak,Lah iya|Aneh tapi yaudah
wkwk,Haha|Nggak ngerti tapi lucu
random anjir,Haha|Nggak ngerti tapi lucu
ngakak,Haha|Nggak ngerti tapi lucu
wkwk,Lah iya|Aneh tapi yaudah
ngakak,Lah iya|Aneh tapi yaudah
apa itu fotosintesis,Ada penjelasan sainsnya|Mau versi gampang atau detail
cape seharian,Capek itu wajar|Tarik napas dulu
apa itu ai,Ini topik menarik|Aku coba jelasin pelan
apa itu ai,Itu proses ilmiah|Aku jelasin singkat ya
ngakak,Wkwk|Aku juga bingung
energi habis,Capek itu wajar|Tarik napas dulu
hati berat,Aku dengerin kamu|Nggak apa-apa ngerasa gini
kosong banget,Perasaan kamu valid|Pelan-pelan ya
wkwk,Lah iya|Aneh tapi yaudah
pengen nangis,Aku dengerin kamu|Nggak apa-apa ngerasa gini
energi habis,Istirahat dulu ya|Tubuh kamu butuh jeda
apa itu fotosintesis,Fotosintesis itu cara tumbuhan bikin makanan sendiri pakai cahaya matahari|Singkatnya tumbuhan makan dari cahaya
kenapa langit biru,Karena cahaya matahari dipantulkan oleh atmosfer bumi|Warna biru paling banyak tersebar
apa itu gravitasi,Gravitasi adalah gaya tarik bumi ke semua benda|Makanya kita nggak melayang
kenapa manusia butuh tidur,Tidur bikin tubuh dan otak pulih kembali|Kalau kurang tidur badan jadi lelah
apa itu energi,Energi itu kemampuan untuk melakukan sesuatu|Semua aktivitas butuh energi
kenapa air laut asin,Karena mineral dari daratan larut ke laut selama jutaan tahun|Garamnya terkumpul
apa itu pecahan,Pecahan adalah bilangan yang dibagi jadi beberapa bagian|Contohnya setengah atau seperempat
apa itu persen,Persen artinya per seratus|Misalnya 50 persen artinya 50 dari 100
apa itu bilangan prima,Bilangan prima hanya bisa dibagi satu dan dirinya sendiri|Contohnya dua tiga lima
kenapa belajar matematika,Karena matematika melatih logika dan cara berpikir|Dipakai di kehidupan sehari hari
apa itu rata rata,Rata rata adalah jumlah semua data dibagi banyaknya data|Dipakai buat cari nilai tengah
apa itu ekonomi,Ekonomi mempelajari cara manusia memenuhi kebutuhan hidup|Mulai dari produksi sampai konsumsi
apa itu sejarah,Sejarah adalah cerita tentang kejadian masa lalu|Dipelajari supaya kita belajar dari pengalaman
kenapa manusia hidup berkelompok,Karena manusia makhluk sosial|Saling membutuhkan satu sama lain
apa itu globalisasi,Globalisasi adalah proses dunia makin terhubung|Informasi jadi cepat tersebar
apa itu budaya,Budaya adalah kebiasaan dan cara hidup suatu masyarakat|Setiap daerah punya budaya
apa itu kata benda,Kata benda adalah kata yang menyebutkan nama benda|Contohnya meja dan buku
apa itu kata kerja,Kata kerja adalah kata yang menunjukkan aktivitas|Contohnya makan dan belajar
kenapa kita belajar bahasa,Bahasa dipakai untuk berkomunikasi|Supaya saling memahami
apa itu kalimat,Kalimat adalah rangkaian kata yang punya makna|Dipakai buat menyampaikan pesan
apa itu komputer,Komputer adalah alat untuk mengolah data|Dipakai buat kerja dan belajar
apa itu internet,Internet adalah jaringan yang menghubungkan komputer di seluruh dunia|Dipakai buat komunikasi dan informasi
apa itu ai,AI adalah teknologi yang membuat mesin bisa meniru cara berpikir manusia|Dipakai di banyak aplikasi
apa itu software,Software adalah program yang dijalankan di komputer|Tanpa software komputer tidak bisa dipakai
apa itu hardware,Hardware adalah bagian fisik komputer|Contohnya keyboard dan monitor
